"","SCIENTIFIC_NAME","mean_SSI"
"289","Drosera anglica",0.965245303514936
"290","Drosera linearis",3.03866901265437
"291","Drosera rotundifolia",1.11323983036893
"292","Drymocallis arguta",1.49847745698826
"293","Dryopteris carthusiana",1.17192277407008
"294","Dryopteris expansa",0.942892738255914
"297","Elaeagnus angustifolia",1.29099444873581
"298","Elaeagnus commutata",0.461030037140776
"299","Eleocharis acicularis",0.632718759253331
"300","Eleocharis erythropoda",1.25964236140153
"301","Eleocharis macrostachya",1.668403685355
"302","Eleocharis palustris",0.338586430032341
"303","Eleocharis quinqueflora",1.79161340431532
"304","Elodea bifoliata",1.25640677201524
"305","Elodea canadensis",1.92089592910762
"306","Elymus albicans",1.37311796200275
"308","Elymus lanceolatus",1.15199753607857
"309","Elymus repens",0.774938004626051
"310","Elymus trachycaulus",0.310311851732986
"311","Empetrum nigrum",1.3513246158775
"312","Epilobium ciliatum",0.38090598116506
"313","Epilobium halleanum",1.64436898603091
"314","Epilobium leptophyllum",0.972468116311062
"315","Epilobium palustre",0.748531101824284
"316","Equisetum arvense",0.195523856986113
"317","Equisetum fluviatile",0.750036922322377
"318","Equisetum hyemale",0.839491246270405
"319","Equisetum laevigatum",1.70137142345194
"320","Equisetum palustre",0.585790412679176
"321","Equisetum pratense",0.659569555806763
"322","Equisetum scirpoides",0.838859874958699
"323","Equisetum sylvaticum",0.50334448644637
"324","Equisetum variegatum",2.56206997399302
"325","Erigeron acris",1.06124906619009
"326","Erigeron caespitosus",1.10951371272921
"328","Erigeron glabellus",0.860037224322425
"330","Erigeron lonchophyllus",1.62200401540203
"332","Erigeron philadelphicus",0.847662387713745
"333","Erigeron pumilus",1.27599801425002
"336","Eriophorum angustifolium",1.2597625345142
"337","Eriophorum brachyantherum",2.07831970124601
"338","Eriophorum chamissonis",1.32103328593095
"339","Eriophorum gracile",1.02515196949876
"340","Eriophorum scheuchzeri",3.04995174256763
"341","Eriophorum vaginatum",1.04788805872617
"342","Eriophorum viridicarinatum",1.13675035187862
"343","Erodium cicutarium",1.74801474695025
"344","Erucastrum gallicum",0.954273344812815
"345","Erysimum asperum",1.52715559018647
"346","Erysimum cheiranthoides",0.689965595372556
"347","Erysimum inconspicuum",0.749626219244276
"348","Escobaria vivipara",2.54125703048825
"349","Euphorbia serpyllifolia",3.16227766016838
"350","Eurybia conspicua",0.379399972464939
"351","Euthamia graminifolia",1.99371351382085
"352","Fagopyrum esculentum",1.91070501407037
"353","Fagopyrum tataricum",1.81491119144921
"354","Fallopia convolvulus",1.18129117078865
"355","Festuca hallii",0.954099988820091
"356","Festuca idahoensis",2.01609344850724
