"Latitude","Longitude","NRNAME","Protocol","WetlandType","WSite","Site","Year","Species","PA"
53.208466,-115.650589,"Foothills","Terrestrial","Marsh","1175","1175",2010,"Equisetum arvense",1
53.104702,-114.714417,"Boreal","Terrestrial","Bog","1178","1178",2013,"Equisetum arvense",1
52.893475,-112.683708,"Parkland","Terrestrial","Marsh","1185","1185",2011,"Brassica napus",1
59.063084,-111.784248,"Boreal","Terrestrial","Swamp","120","120",2013,"Equisetum fluviatile",1
53.117416,-117.186401,"Rocky Mountain","Terrestrial","Bog","1202","1202",2010,"Equisetum scirpoides",1
53.004383,-115.644264,"Foothills","Terrestrial","Poor Fen","1207","1207",2010,"Equisetum arvense",1
58.93523,-111.107582,"Canadian Shield","Terrestrial","Rich Fen","122","122",2011,"Lycopodium annotinum",1
52.555283,-111.23951,"Parkland","Terrestrial","Wet Meadow","1222","1222",2015,"Rorippa palustris",1
52.49675,-110.988373,"Parkland","Terrestrial","Swamp","1223","1223",2015,"Selaginella densa",1
52.503891,-110.730148,"Parkland","Terrestrial","Marsh","1224","1224",2015,"Lycopus asper",1
52.414051,-110.432747,"Parkland","Terrestrial","Marsh","1225","1225",2013,"Brassica napus",1
52.814526,-115.467941,"Foothills","Terrestrial","Poor Fen","1238","1238",2011,"Equisetum pratense",1
52.514893,-112.811302,"Parkland","Terrestrial","Marsh","1247","1247",2011,"Polygonum aviculare",1
58.865517,-110.195,"Boreal","Terrestrial","Poor Fen","125","125",2014,"Equisetum fluviatile",1
52.371078,-111.317314,"Parkland","Terrestrial","Wet Meadow","1252","1252",2015,"Fallopia convolvulus",1
52.351074,-111.060013,"Parkland","Terrestrial","Wet Meadow","1253","1253",2015,"Erysimum cheiranthoides",1
52.314011,-110.770378,"Parkland","Terrestrial","Wet Meadow","1254","1254",2015,"Selaginella densa",1
52.387444,-112.824402,"Parkland","Terrestrial","Marsh","1276","1276",2015,"Persicaria lapathifolia",1
52.287441,-112.278847,"Parkland","Terrestrial","Swamp","1278","1278",2013,"Brassica napus",1
59.447678,-119.101288,"Boreal","Terrestrial","Bog","128","128",2014,"Equisetum fluviatile",1
52.205681,-111.68856,"Grassland","Terrestrial","Marsh","1280","1280",2013,"Brassica napus",1
52.071507,-110.520279,"Grassland","Terrestrial","Wet Meadow","1284","1284",2013,"Selaginella densa",1
52.066765,-110.288818,"Grassland","Terrestrial","Swamp","1285","1285",2013,"Anthoxanthum hirtum",1
59.431057,-118.767242,"Boreal","Terrestrial","Poor Fen","129","129",2014,"Equisetum scirpoides",1
59.869965,-112.579437,"Boreal","Terrestrial","Bog","13","13",2016,"Equisetum scirpoides",1
52.236301,-113.1819,"Parkland","Terrestrial","Wet Meadow","1303","1303",2015,"Chenopodium glaucum",1
52.124207,-112.581192,"Parkland","Terrestrial","Marsh","1305","1305",2015,"Lepidium densiflorum",1
52.106796,-112.350281,"Grassland","Terrestrial","Marsh","1306","1306",2013,"Brassica napus",1
52.087727,-112.009926,"Grassland","Terrestrial","Marsh","1307","1307",2013,"Selaginella densa",1
51.909885,-110.562592,"Grassland","Terrestrial","Wet Meadow","1312","1312",2013,"Selaginella densa",1
51.886597,-110.307915,"Grassland","Terrestrial","Swamp","1313","1313",2013,"Descurainia sophia",1
51.812878,-110.020561,"Grassland","Terrestrial","Marsh","1314","1314",2013,"Triglochin maritima",1
52.019337,-112.946854,"Parkland","Terrestrial","Wet Meadow","1333","1333",2015,"Chenopodium glaucum",1
51.949348,-112.400352,"Grassland","Terrestrial","Marsh","1335","1335",2013,"Polygonum aviculare",1
51.880165,-111.741264,"Grassland","Terrestrial","Marsh","1337","1337",2013,"Persicaria lapathifolia",1
59.327,-117.027519,"Boreal","Terrestrial","Poor Fen","134","134",2013,"Equisetum scirpoides",1
51.700825,-110.635551,"Grassland","Terrestrial","Marsh","1341","1341",2013,"Equisetum arvense",1
51.701118,-110.42244,"Grassland","Terrestrial","Marsh","1342","1342",2013,"Descurainia sophia",1
51.646828,-110.099785,"Grassland","Terrestrial","Marsh","1343","1343",2013,"Selaginella densa",1
52.060474,-114.732391,"Boreal","Terrestrial","Marsh","1354","1354",2008,"Valeriana dioica",1
51.966812,-114.440094,"Boreal","Terrestrial","Marsh","1355","1355",2008,"Phalaris arundinacea",1
51.950893,-113.804253,"Parkland","Terrestrial","Marsh","1357","1357",2013,"Fallopia convolvulus",1
59.248165,-116.391609,"Boreal","Terrestrial","Poor Fen","136","136",2012,"Equisetum scirpoides",1
51.690331,-111.875153,"Grassland","Terrestrial","Marsh","1364","1364",2012,"Capsella bursa-pastoris",1
51.521454,-110.458626,"Grassland","Terrestrial","Marsh","1369","1369",2012,"Brassica rapa",1
51.464886,-110.134605,"Grassland","Terrestrial","Wet Meadow","1370","1370",2012,"Chenopodium glaucum",1
51.787006,-114.146881,"Parkland","Terrestrial","Marsh","1381","1381",2013,"Brassica napus",1
51.572464,-112.474205,"Grassland","Terrestrial","Wet Meadow","1387","1387",2012,"Selaginella densa",1
51.522919,-111.884567,"Grassland","Terrestrial","Marsh","1389","1389",2012,"Selaginella densa",1
51.384136,-111.077873,"Grassland","Terrestrial","Marsh","1392","1392",2014,"Atriplex gardneri",1
51.398434,-110.77002,"Grassland","Terrestrial","Marsh","1393","1393",2015,"Lepidium densiflorum",1
51.284584,-110.260117,"Grassland","Terrestrial","Wet Meadow","1395","1395",2012,"Descurainia sophia",1
59.796967,-112.230896,"Boreal","Terrestrial","Bog","14","14",2016,"Equisetum fluviatile",1
51.57692,-114.218719,"Parkland","Terrestrial","Marsh","1405","1405",2013,"Brassica napus",1
51.548641,-113.706932,"Grassland","Terrestrial","Marsh","1407","1407",2013,"Brassica napus",1
