"Latitude","Longitude","Protocol","NRNAME","WetlandType","Site","Year","rich","totdist_percent","UniqueID","CSI","propexotic"
49.284225,-112.923218,"Wetland","Grassland","Marsh","1639",2011,27,0,"Wetland_1639",0.639691967518519,25.9259259259259
49.305336,-113.153824,"Terrestrial","Grassland","Marsh","1638",2011,28,83.4770901083442,"Terrestrial_1638",0.843455911678571,57.1428571428571
49.305336,-113.153824,"Terrestrial","Grassland","Marsh","1638",2013,27,0,"Terrestrial_1638",0.832841657888889,62.962962962963
49.305336,-113.153824,"Wetland","Grassland","Marsh","1638",2011,15,91.4220172,"Wetland_1638",0.569755027333333,26.6666666666667
49.325226,-113.48748,"Wetland","Grassland","Wet Meadow","1637",2008,37,43.0418483,"Wetland_1637",0.585440249702703,21.6216216216216
49.325226,-113.48748,"Wetland","Grassland","Wet Meadow","1637",2015,31,48.1774127,"Wetland_1637",0.537285678806452,19.3548387096774
49.327721,-111.802391,"Wetland","Grassland","Marsh","1626",2012,15,98.8096947,"Wetland_1626",0.7810022338,53.3333333333333
49.357346,-110.870064,"Wetland","Grassland","Marsh","1612",2009,40,10.8935971,"Wetland_1612",0.59552137185,5
49.357346,-110.870064,"Wetland","Grassland","Wet Meadow","1612B",2016,31,0,"Wetland_1612B",0.662828750806452,22.5806451612903
49.35767,-112.039963,"Wetland","Grassland","Marsh","1625",2012,16,2.3957157,"Wetland_1625",0.7922124469375,37.5
49.363445,-112.332726,"Wetland","Grassland","Marsh","1624",2012,19,96.4335956,"Wetland_1624",0.61619361631579,42.1052631578947
49.380474,-112.554527,"Terrestrial","Grassland","Marsh","1623",2011,15,85.2277919158703,"Terrestrial_1623",0.965901447533333,73.3333333333333
49.380474,-112.554527,"Terrestrial","Grassland","Marsh","1623",2013,13,0,"Terrestrial_1623",0.990611180153846,69.2307692307692
49.380474,-112.554527,"Wetland","Grassland","Alkali Fen","1623",2011,21,53.3985717,"Wetland_1623",0.560536791809524,38.0952380952381
49.388168,-113.705055,"Wetland","Grassland","Wet Meadow","1636",2008,12,89.0973248,"Wetland_1636",0.62178076225,0
49.388168,-113.705055,"Wetland","Grassland","Wet Meadow","1636",2015,31,91.5479144,"Wetland_1636",0.50669912916129,32.258064516129
49.395493,-111.232903,"Wetland","Grassland","Marsh","1611",2009,10,3.838617,"Wetland_1611",0.4814176381,0
49.395493,-111.232903,"Wetland","Grassland","Wet Meadow","1611B",2016,18,84.6124791,"Wetland_1611B",0.514321283166667,16.6666666666667
49.417633,-113.998138,"Wetland","Grassland","Marsh","1635",2008,67,28.0695009,"Wetland_1635",0.638279591940298,20.8955223880597
49.417633,-113.998138,"Wetland","Grassland","Marsh","1635",2015,14,33.1126947,"Wetland_1635",0.4510810875,0
49.447254,-111.694244,"Wetland","Grassland","Shallow Lake","1609",2012,27,59.7809339,"Wetland_1609",0.572082680259259,25.9259259259259
49.447514,-113.165291,"Terrestrial","Grassland","Marsh","1621",2011,7,92.3107848074695,"Terrestrial_1621",0.988041914142857,57.1428571428571
49.447514,-113.165291,"Terrestrial","Grassland","Marsh","1621",2013,9,0,"Terrestrial_1621",1.089306436,100
49.447514,-113.165291,"Wetland","Grassland","Marsh","1621",2011,20,99.9882302,"Wetland_1621",0.6331077261,50
49.45359,-111.437851,"Wetland","Grassland","Wet Meadow","1610",2009,34,91.2606792,"Wetland_1610",0.713826739558824,23.5294117647059
49.45359,-111.437851,"Wetland","Grassland","Wet Meadow","1610",2016,21,95.8488874,"Wetland_1610",0.618869932857143,47.6190476190476
