Geographic code,Geo_name,Geo_type,Province,"Geographic code, Census division","Geographic code, Census metropolitan area / census agglomeration",Pop_2016,"Incompletely enumerated Indian reserves and Indian settlements, 2016",Pop_2011,2011 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2011",2011 population review or received update flag,Pop_percent_change,Total private dwellings 2016,Total private dwellings 2011,2011 adjusted total private dwellings flag,Total private dwellings_percent_change,"Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011",2011 adjusted private dwellings occupied by usual residents flag,"Private dwellings occupied by usual residents, % change",Land area in square kilometres_2016,Population density per square kilometre_2016,"National population rank, 2016","Provincial/territorial population rank, 2016"
4818818,Sturgeon Lake 154A,Indian reserve,Alberta,4818,,53,F,24,F,F,,120.8,16,8,F,100,15,8,F,87.5,8.92,5.9,4532,388
4817829,Sucker Creek 150A,Indian reserve,Alberta,4817,,689,F,677,F,F,,1.8,274,255,F,7.5,235,231,F,1.7,66.99,10.3,2564,239
4808027,Sunbreaker Cove,Summer village,Alberta,4808,,81,F,69,F,F,,17.4,240,209,F,14.8,41,32,F,28.1,0.5,160.8,4410,382
4809809,Sunchild 202,Indian reserve,Alberta,4809,,749,F,677,F,F,,10.6,187,209,F,-10.5,168,171,F,-1.8,53.51,14,2454,229
4811020,Sundance Beach,Summer village,Alberta,4811,835,73,F,82,F,F,,-11,148,128,F,15.6,31,35,F,-11.4,0.44,165.8,4442,383
4806036,Sundre,Town,Alberta,4806,,2729,F,2610,F,F,,4.6,1256,1738,F,-27.7,1188,1144,F,3.8,11.11,245.6,1093,128
4813017,Sunrise Beach,Summer village,Alberta,4813,,135,F,149,F,F,,-9.4,139,151,F,-7.9,69,76,F,-9.2,1.66,81.4,4176,358
4813047,Sunset Beach,Summer village,Alberta,4813,,49,F,44,F,F,,11.4,99,108,F,-8.3,25,25,F,0,0.74,65.9,4557,391
4813011,Sunset Point,Summer village,Alberta,4813,,169,F,221,F,F,,-23.5,337,244,F,38.1,74,93,F,-20.4,1.15,147.1,4040,337
4817024,Swan Hills,Town,Alberta,4817,,1301,F,1465,F,F,,-11.2,724,718,F,0.8,535,576,F,-7.1,26.12,49.8,1796,177
4817831,Swan River 150E,Indian reserve,Alberta,4817,,413,F,312,F,F,,32.4,123,102,F,20.6,116,100,F,16,42.7,9.7,3196,273
4808012,Sylvan Lake,Town,Alberta,4808,831,14816,F,12362,T,F,D,19.9,6567,5611,T,17,5616,4618,T,21.6,23.36,634.2,280,28
4802021,Taber,Municipal district,Alberta,4802,,7098,F,6851,F,F,,3.6,2081,2022,F,2.9,1857,1834,F,1.3,4201.65,1.7,556,68
4802022,Taber,Town,Alberta,4802,,8428,F,8104,F,F,,4,3384,3279,F,3.2,3159,3086,F,2.4,15.67,537.9,469,53
4817838,Tall Cree 173,Indian reserve,Alberta,4817,,250,F,202,F,F,,23.8,53,57,F,-7,51,41,F,24.4,38.71,6.5,3732,301
4817840,Tall Cree 173A,Indian reserve,Alberta,4817,,224,F,163,F,F,,37.4,58,53,F,9.4,55,42,F,31,53.69,4.2,3832,308
4816861,Thabacha N·re 196A,Indian reserve,Alberta,4816,860,28,F,0,F,F,,,16,0,F,,8,0,F,,2.46,11.4,4655,403
4816860,Thebathi 196,Indian reserve,Alberta,4816,,20,F,30,F,F,,-33.3,19,12,F,58.3,7,9,F,-22.2,60.73,0.3,4694,407
4813036,Thorhild County,Municipal district,Alberta,4813,,3254,F,3417,F,F,,-4.8,1836,1807,F,1.6,1401,1458,F,-3.9,2001.74,1.6,957,115
4811021,Thorsby,Village,Alberta,4811,835,985,F,951,T,F,C,3.6,428,436,T,-1.8,394,394,T,0,3.85,255.8,2108,201
4805048,Three Hills,Town,Alberta,4805,,3212,F,3198,F,F,,0.4,1306,1257,F,3.9,1232,1178,F,4.6,6.75,475.7,972,116
4810018,Tofield,Town,Alberta,4810,,2081,F,2182,F,F,,-4.6,864,878,F,-1.6,814,844,F,-3.6,8.21,253.4,1313,145
4805049,Trochu,Town,Alberta,4805,,1058,F,1072,F,F,,-1.3,472,429,F,10,421,414,F,1.7,2.78,381.1,2020,192
4806804,Tsuu T'ina Nation 145 (Sarcee 145),Indian reserve,Alberta,4806,825,1643,F,2052,F,F,A,-19.9,742,655,F,13.3,491,630,F,-22.1,282.92,5.8,1537,162
4806009,Turner Valley,Town,Alberta,4806,,2559,F,2167,F,F,,18.1,1066,934,F,14.1,1019,888,F,14.8,5.79,442.1,1143,135
4810052,Two Hills,Town,Alberta,4810,,1352,F,1379,F,F,,-2,478,522,F,-8.4,399,472,F,-15.5,3.38,400,1747,171
4810048,Two Hills County No. 21,Municipal district,Alberta,4810,,3322,F,3160,F,F,,5.1,1499,1222,F,22.7,1105,1058,F,4.4,2637.18,1.3,948,113
4812802,Unipouheos 121,Indian reserve,Alberta,4812,,909,F,813,F,F,,11.8,232,200,F,16,205,173,F,18.5,88.3,10.3,2218,210
4817849,Upper Hay River 212,Indian reserve,Alberta,4817,,294,F,292,F,F,,0.7,115,111,F,3.6,98,97,F,1,14.07,20.9,3588,293
4817824,Utikoomak Lake 155,Indian reserve,Alberta,4817,,723,F,644,F,F,,12.3,193,188,F,2.7,158,133,F,18.8,64.56,11.2,2502,233
4817827,Utikoomak Lake 155A,Indian reserve,Alberta,4817,,127,F,121,F,F,,5,34,35,F,-2.9,29,29,F,0,7.21,17.6,4211,361
4813005,Val Quentin,Summer village,Alberta,4813,,252,F,157,F,F,,60.5,224,179,F,25.1,128,77,F,66.2,0.31,814,3725,300
4818018,Valleyview,Town,Alberta,4818,,1863,F,1761,F,F,,5.8,833,786,F,6,747,737,F,1.4,9.32,199.9,1427,157
4802029,Vauxhall,Town,Alberta,4802,,1222,F,1288,F,F,,-5.1,458,458,F,0,413,429,F,-3.7,2.72,449.4,1856,181
4810028,Vegreville,Town,Alberta,4810,,5708,F,5717,F,F,,-0.2,2734,2680,F,2,2429,2429,F,0,14.08,405.4,653,79
4810042,Vermilion,Town,Alberta,4810,,4084,F,3930,F,F,,3.9,1988,1845,F,7.8,1753,1651,F,6.2,12.93,315.8,817,98
4810036,Vermilion River County,Municipal district,Alberta,4810,,8267,F,7905,F,F,,4.6,3268,3008,F,8.6,2981,2801,F,6.4,5519.75,1.5,478,56
4804021,Veteran,Village,Alberta,4804,,207,F,249,F,F,,-16.9,112,119,F,-5.9,102,104,F,-1.9,0.84,246.9,3893,319
4810022,Viking,Town,Alberta,4810,,1083,F,1041,F,F,,4,505,473,F,6.8,460,445,F,3.4,3.7,292.5,1994,190
4812024,Vilna,Village,Alberta,4812,,290,F,249,F,F,,16.5,143,135,F,5.9,114,111,F,2.7,0.96,300.8,3603,294
4805006,Vulcan,Town,Alberta,4805,,1917,F,1836,F,F,,4.4,879,865,F,1.6,829,768,F,7.9,6.34,302.3,1402,154
4805001,Vulcan County,Municipal district,Alberta,4805,,3984,F,3875,F,F,,2.8,1616,1433,F,12.8,1180,1104,F,6.9,5433.43,0.7,836,100
4811045,Wabamun,Village,Alberta,4811,835,682,F,661,F,F,,3.2,290,295,F,-1.7,270,265,F,1.9,3.58,190.5,2578,240
4811806,Wabamun 133A,Indian reserve,Alberta,4811,835,1592,F,1069,F,F,,48.9,369,226,F,63.3,345,204,F,69.1,62.19,25.6,1584,164
4811807,Wabamun 133B,Indian reserve,Alberta,4811,835,30,F,17,F,F,,76.5,5,5,F,0,5,5,F,0,1.96,15.3,4637,401
4817818,Wabasca 166,Indian reserve,Alberta,4817,,160,F,152,F,F,,5.3,49,50,F,-2,42,36,F,16.7,84.96,1.9,4068,342
4817819,Wabasca 166A,Indian reserve,Alberta,4817,,658,F,738,F,F,,-10.8,213,199,F,7,183,174,F,5.2,6.33,103.9,2626,242
4817821,Wabasca 166B,Indian reserve,Alberta,4817,,190,F,250,F,F,,-24,52,53,F,-1.9,43,49,F,-12.2,25.52,7.4,3966,328
4817822,Wabasca 166C,Indian reserve,Alberta,4817,,188,F,182,F,F,,3.3,58,57,F,1.8,47,50,F,-6,35.24,5.3,3974,330
4817823,Wabasca 166D,Indian reserve,Alberta,4817,,961,F,885,F,F,,8.6,273,280,F,-2.5,248,241,F,2.9,58.8,16.3,2149,205
4807054,Wainwright,Town,Alberta,4807,,6270,F,5925,F,F,,5.8,2770,2577,F,7.5,2524,2384,F,5.9,9.1,688.7,610,74
4807049,Wainwright No. 61,Municipal district,Alberta,4807,,4479,F,4138,F,F,,8.2,1768,1419,F,24.6,1459,1229,F,18.7,4156.56,1.1,773,95
4815030,Waiparous,Summer village,Alberta,4815,,49,F,42,F,F,,16.7,48,43,F,11.6,23,21,F,9.5,0.41,118.6,4557,391
4811024,Warburg,Village,Alberta,4811,835,766,F,789,F,F,,-2.9,335,337,F,-0.6,302,308,F,-1.9,2.68,285.9,2426,227
4802006,Warner,Village,Alberta,4802,,373,F,331,F,F,,12.7,196,190,F,3.2,172,161,F,6.8,1.16,321.6,3308,277
4802001,Warner County No. 5,Municipal district,Alberta,4802,,3847,F,3841,F,F,,0.2,941,956,F,-1.6,816,820,F,-0.5,4531.55,0.8,856,102
4812026,Waskatenau,Village,Alberta,4812,,186,F,255,F,F,,-27.1,129,140,F,-7.9,99,115,F,-13.9,0.6,311.9,3985,332
4819011,Wembley,Town,Alberta,4819,,1516,F,1383,F,F,,9.6,618,542,F,14,565,514,F,9.9,4.75,318.9,1628,168
4813057,West Baptiste,Summer village,Alberta,4813,,38,F,52,F,F,,-26.9,47,85,F,-44.7,19,28,F,-32.1,0.65,58.5,4608,399
4813006,West Cove,Summer village,Alberta,4813,,149,F,121,F,F,,23.1,214,161,F,32.9,78,55,F,41.8,1.33,112.3,4119,355
4813031,Westlock,Town,Alberta,4813,,5101,F,4823,F,F,,5.8,2333,2212,F,5.5,2142,2038,F,5.1,13.37,381.4,706,88
4813028,Westlock County,Municipal district,Alberta,4813,,7220,F,7644,F,F,,-5.5,3009,2925,F,2.9,2670,2696,F,-1,3171.83,2.3,542,67
4811002,Wetaskiwin,City,Alberta,4811,865,12655,F,12525,F,F,,1,5563,5477,F,1.6,5121,5131,F,-0.2,18.31,691.1,332,37
4811001,Wetaskiwin County No. 10,Municipal district,Alberta,4811,,11181,F,10866,F,F,,2.9,5556,5025,F,10.6,4372,4155,F,5.2,3132.06,3.6,368,39
4805012,Wheatland County,Municipal district,Alberta,4805,,8788,F,8285,F,F,,6.1,3117,2941,F,6,2836,2659,F,6.7,4545.92,1.9,454,51
4813061,Whispering Hills,Summer village,Alberta,4813,,142,F,108,F,F,,31.5,136,136,F,0,62,43,F,44.2,1.68,84.6,4145,356
4812808,White Fish Lake 128,Indian reserve,Alberta,4812,,1310,F,1188,F,F,,10.3,319,318,F,0.3,291,291,F,0,50.93,25.7,1785,175
4807027,White Sands,Summer village,Alberta,4807,,120,F,91,F,F,,31.9,253,217,F,16.6,59,44,F,34.1,1.58,76.2,4235,363
4813030,Whitecourt,Town,Alberta,4813,,10204,F,9605,F,F,,6.2,4253,3893,F,9.2,3743,3629,F,3.1,26.44,386,409,45
4810056,Willingdon,Village,Alberta,4810,,319,F,275,F,F,,16,160,166,F,-3.6,130,131,F,-0.8,0.92,345,3491,287
4803018,Willow Creek No. 26,Municipal district,Alberta,4803,,5179,F,5107,F,F,,1.4,1863,1747,F,6.6,1671,1602,F,4.3,4558.14,1.1,698,87
4816037,Wood Buffalo,Specialized municipality,Alberta,4816,860,71589,F,65565,F,F,,9.2,30713,27999,T,9.7,25659,23076,T,11.2,61777.65,1.2,80,6
4817856,Woodland Cree 226,Indian reserve,Alberta,4817,,723,F,706,F,F,,2.4,211,185,F,14.1,188,167,F,12.6,123.08,5.9,2502,233
4817857,Woodland Cree 228,Indian reserve,Alberta,4817,,150,F,143,F,F,,4.9,36,32,F,12.5,33,32,F,3.1,38.05,3.9,4114,353
4813029,Woodlands County,Municipal district,Alberta,4813,,4754,F,4306,F,F,,10.4,1950,1753,F,11.2,1812,1602,F,13.1,7669.13,0.6,742,90
4814003,Yellowhead County,Municipal district,Alberta,4814,,10995,F,10469,F,F,,5,5048,4708,F,7.2,4309,4083,F,5.5,22293.16,0.5,374,41
4813007,Yellowstone,Summer village,Alberta,4813,,137,F,124,F,F,,10.5,145,143,F,1.4,63,55,F,14.5,0.28,482.1,4167,357
4804019,Youngstown,Village,Alberta,4804,,154,F,178,F,F,,-13.5,88,101,F,-12.9,68,82,F,-17.1,1.11,139.3,4094,347
