Protocol,ABMI.Site,Year,Latitude,Longitude,climatic_moisture_defecit,FFP,MAP,MAT,summer_precip
Wetland,OGW-787,"2,015",55.18819,-113.51355,136.0867633,98.99720775,506.9961195,0.6,344
Wetland,OGW-828,"2,013",54.70514,-110.82078,177.6947375,103,456,0.7,315
Wetland,OGW-994,"2,011",53.7266,-110.26053,234.207895,112,432,1.5,297
Wetland,W-1,"2,016",59.94313,-110.2824,178.0738184,97,355,-3.9,205
Wetland,W-1007,"2,008",54.18933,-116.26938,79.35014531,105.6701073,585.7599064,2.154144138,413.8156202
Wetland,W-1008,"2,008",54.14914,-115.99097,92.34145613,104.9981042,573.4128901,2.1,402.4128901
Wetland,W-1018,"2,011",53.87232,-112.98692,207,112,447,1.792149265,321
Wetland,W-1030,"2,011",54.21363,-119.75065,0,80.16147062,881.7831748,0.414386365,465.5890239
Wetland,W-1036,"2,010",54.07834,-117.84628,33.26402406,96.63376527,662.0036759,2.263376527,437.0036759
Wetland,W-1037,"2,010",54.09221,-117.6019,31.04064319,103,671.406655,2.1,451.9751763
Wetland,W-1041,"2,008",53.98054,-116.33724,60,108,595.0168866,2.3,413
Wetland,W-1068,"2,008",53.93547,-118.19331,23.70037399,102.850187,641.8442907,1.8,416.8442907
Wetland,W-1069,"2,008",53.91086,-117.96356,48.9999078,94.9999539,627,2.3,414.9999539
Wetland,W-1070,"2,008",53.93909,-117.59003,40.79464802,98,638.9514228,2.379464802,436
Wetland,W-1071,"2,011",53.88097,-117.34242,44,96,624.2467984,2.2,434.2467984
Wetland,W-1073,"2,011",53.83914,-116.70825,42.2038802,108,638.3685487,1.92038802,448.2926827
Wetland,W-1077,"2,013",53.7565,-115.4689,91.54935323,101,577,2.2,415
Wetland,W-1078,"2,013",53.73122,-115.18534,112.8592206,103,561.11659,2.3,401.11659
Wetland,W-1101,"2,008",53.77581,-118.27942,21.44525076,95,644.8429264,1.422262538,406.8609247
Wetland,W-1102,"2,008",53.74439,-117.96885,45.00474877,90.93694272,616.9968342,2,399
Wetland,W-1103,"2,008",53.71989,-117.64279,47.92601648,91,611.769537,1.9,405.0606109
Wetland,W-1104,"2,011",53.69891,-117.31323,47.98460475,92,602.2200126,1.872717483,410.4774425
Wetland,W-1105,"2,011",53.6609,-117.0742,49.82379901,93,602,2.1,420.3850249
