Protocol,ABMI.Site,Year,Latitude,Longitude,NSRNAME,NRNAME
Terrestrial,602,2004,56.086975,-111.859787,Lower Boreal Highlands,Boreal
Terrestrial,604,2004,56.039345,-111.209465,Lower Boreal Highlands,Boreal
Terrestrial,625,2004,56.212494,-114.849663,Central Mixedwood,Boreal
Terrestrial,627,2004,56.181553,-114.14048,Central Mixedwood,Boreal
Terrestrial,629,2004,56.092342,-113.575829,Central Mixedwood,Boreal
Terrestrial,638,2004,55.781212,-110.729614,Central Mixedwood,Boreal
Terrestrial,655,2004,56.103893,-115.517708,Central Mixedwood,Boreal
Terrestrial,662,2004,55.866554,-113.291275,Central Mixedwood,Boreal
Terrestrial,687,2004,55.888378,-115.154457,Central Mixedwood,Boreal
Terrestrial,702,2004,55.394737,-110.568474,Central Mixedwood,Boreal
Terrestrial,710,2004,55.934803,-117.796768,Dry Mixedwood,Boreal
Terrestrial,720,2004,55.686321,-114.670769,Central Mixedwood,Boreal
Terrestrial,725,2004,55.517902,-113.069962,Central Mixedwood,Boreal
Terrestrial,753,2004,55.416237,-114.079887,Central Mixedwood,Boreal
Terrestrial,757,2004,55.323009,-112.864319,Central Mixedwood,Boreal
Terrestrial,761,2004,55.156345,-111.656158,Central Mixedwood,Boreal
Terrestrial,785,2004,55.251911,-114.198654,Central Mixedwood,Boreal
Terrestrial,788,2004,55.165794,-113.159264,Central Mixedwood,Boreal
Terrestrial,789,2004,55.116135,-112.903625,Central Mixedwood,Boreal
Terrestrial,792,2004,55.02652,-112.013039,Central Mixedwood,Boreal
Terrestrial,794,2004,54.970066,-111.336494,Central Mixedwood,Boreal
Terrestrial,799,2004,55.454517,-119.771263,Central Mixedwood,Boreal
Terrestrial,805,2004,55.352249,-117.93808,Dry Mixedwood,Boreal
Terrestrial,825,2004,54.811955,-111.665276,Central Mixedwood,Boreal
Terrestrial,838,2004,55.145794,-117.640099,Central Mixedwood,Boreal
Terrestrial,857,2004,54.640965,-111.759758,Central Mixedwood,Boreal
Terrestrial,863,2004,55.113983,-119.838188,Central Mixedwood,Boreal
Terrestrial,868,2004,55.059719,-118.335739,Dry Mixedwood,Boreal
Terrestrial,899,2004,54.89819,-118.988976,Central Mixedwood,Boreal
Terrestrial,900,2004,54.854778,-118.700951,Central Mixedwood,Boreal
Terrestrial,901,2004,54.889511,-118.296112,Central Mixedwood,Boreal
Terrestrial,477,2005,56.868309,-111.964401,Central Mixedwood,Boreal
Terrestrial,489,2005,57.232376,-118.162682,Lower Boreal Highlands,Boreal
Terrestrial,490,2005,57.188354,-117.854561,Lower Boreal Highlands,Boreal
Terrestrial,521,2005,56.978039,-117.877327,Dry Mixedwood,Boreal
Terrestrial,523,2005,56.979988,-117.263649,Dry Mixedwood,Boreal
Terrestrial,527,2005,56.841602,-115.998611,Lower Boreal Highlands,Boreal
Terrestrial,559,2005,56.670578,-115.698334,Central Mixedwood,Boreal
Terrestrial,560,2005,56.651146,-115.323715,Central Mixedwood,Boreal
Terrestrial,570,2005,56.333176,-112.122169,Central Mixedwood,Boreal
Terrestrial,585,2005,56.626186,-117.39534,Dry Mixedwood,Boreal
Terrestrial,588,2005,56.568489,-116.374451,Central Mixedwood,Boreal
Terrestrial,591,2005,56.466942,-115.390587,Central Mixedwood,Boreal
Terrestrial,615,2005,56.452942,-118.024689,Lower Boreal Highlands,Boreal
Terrestrial,621,2005,56.331802,-116.141838,Central Mixedwood,Boreal
Terrestrial,638,2005,55.781212,-110.729614,Central Mixedwood,Boreal
Terrestrial,655,2005,56.103893,-115.517708,Central Mixedwood,Boreal
Terrestrial,665,2005,55.799694,-112.317108,Central Mixedwood,Boreal
Terrestrial,687,2005,55.888378,-115.154457,Central Mixedwood,Boreal
Terrestrial,697,2005,55.559921,-112.072166,Lower Boreal Highlands,Boreal
Terrestrial,702,2005,55.394737,-110.568474,Central Mixedwood,Boreal
Terrestrial,720,2005,55.686321,-114.670769,Central Mixedwood,Boreal
Terrestrial,753,2005,55.416237,-114.079887,Central Mixedwood,Boreal
Terrestrial,761,2005,55.156345,-111.656158,Central Mixedwood,Boreal
Terrestrial,774,2005,55.53228,-117.562332,Dry Mixedwood,Boreal
Terrestrial,785,2005,55.251911,-114.198654,Central Mixedwood,Boreal
Terrestrial,792,2005,55.02652,-112.013039,Central Mixedwood,Boreal
Terrestrial,822,2005,54.898026,-112.672699,Dry Mixedwood,Boreal
Terrestrial,825,2005,54.811955,-111.665276,Central Mixedwood,Boreal
Terrestrial,828,2005,54.705143,-110.820778,Central Mixedwood,Boreal
Terrestrial,829,2005,54.672474,-110.546539,Central Mixedwood,Boreal
Terrestrial,830,2005,54.632225,-110.175346,Central Mixedwood,Boreal
Terrestrial,836,2005,55.206089,-118.290535,Dry Mixedwood,Boreal
Terrestrial,850,2005,54.858162,-113.977287,Central Mixedwood,Boreal
Terrestrial,851,2005,54.841652,-113.643242,Central Mixedwood,Boreal
Terrestrial,853,2005,54.749371,-112.961136,Dry Mixedwood,Boreal
Terrestrial,920,2005,54.35503,-112.469894,Central Mixedwood,Boreal
Terrestrial,922,2005,54.284721,-111.918694,Central Mixedwood,Boreal
Terrestrial,483,2006,56.651634,-110.02491,Central Mixedwood,Boreal
Terrestrial,507,2006,56.703514,-112.361649,Central Mixedwood,Boreal
Terrestrial,508,2006,56.682861,-112.014778,Central Mixedwood,Boreal
Terrestrial,514,2006,56.463573,-110.065025,Central Mixedwood,Boreal
Terrestrial,538,2006,56.549435,-112.45282,Central Mixedwood,Boreal
Terrestrial,539,2006,56.50687,-112.16037,Central Mixedwood,Boreal
